"ID"	"age"	"capt"	"area"	"d18O"	"res"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"year"	"dist"
"BH-01868"	9	"SB"	"WRB"	-6.96334832857143	-0.782835596775834	0.00352429193899782	0.00945472766884532	8.25779956427015e-05	6.34183006535948e-06	6.51285403050109e-05	1	321.7359166
"BH-01868"	9	"SB"	"WRB"	-7.00353445714286	-0.854351956945124	0.00338516339869281	0.00943581699346405	6.16627450980392e-05	5.02967320261438e-06	5.11477124183007e-05	1	362.5520652
"BH-01868"	9	"SB"	"WRB"	-7.06312078571429	-0.938441058229472	0.00364191721132898	0.00909605664488018	5.55599128540305e-05	4.54204793028323e-06	3.13444444444445e-05	1	402.5133538
"BH-01868"	9	"SB"	"WRB"	-7.19892218571429	-1.08457874564798	0.00446019607843137	0.00865891067538126	4.12424836601307e-05	5.26544662309368e-06	1.77309368191721e-05	1	442.474858
"BH-01868"	9	"SB"	"WRB"	-7.32502348571429	-1.16176632003424	0.00524908496732026	0.00803333333333333	4.34117647058824e-05	8.3475816993464e-06	1.68470588235294e-05	1	483.2908027
"BH-01868"	9	"SB"	"WRB"	-7.4275674	-1.17112788180069	0.00450764705882353	0.00787113289760349	4.71877995642701e-05	7.63788671023965e-06	2.30156862745098e-05	1	523.2523292
"BH-01868"	9	"SB"	"WRB"	-7.55089724285714	-1.30305271492557	0.00423331154684096	0.00795875816993464	6.21272331154684e-05	7.02697167755991e-06	3.13788671023965e-05	2	564.0682583
"BH-01868"	9	"SB"	"WRB"	-7.44281041428571	-1.24799838639608	0.00394058823529412	0.00828980392156863	7.13339869281046e-05	6.41392156862745e-06	4.23738562091503e-05	2	604.0298006
"BH-01868"	9	"SB"	"WRB"	-7.0395634	-0.94989325515479	0.00371074074074074	0.00755331154684096	6.4416339869281e-05	5.10627450980393e-06	4.1199128540305e-05	2	643.9914596
"BH-01868"	9	"SB"	"WRB"	-6.95087677142857	-0.937271142705216	0.00377925925925926	0.00732222222222222	6.68518518518519e-05	4.96074074074074e-06	3.96e-05	2	684.8072722
"BH-01868"	9	"SB"	"WRB"	-6.87327597142857	-0.945880948063391	0.0038102614379085	0.00686450980392157	5.95006535947712e-05	4.53104575163399e-06	3.60091503267974e-05	2	724.7689287
"BH-01868"	9	"SB"	"WRB"	-6.82893265714286	-0.998699391367487	0.00401093681917211	0.00693686274509804	6.97263616557734e-05	4.08498910675381e-06	2.29947712418301e-05	2	764.7306715
"BH-01868"	9	"SB"	"WRB"	-6.63077347142857	-0.894139026605889	0.00462185185185185	0.00730300653594771	5.70723311546841e-05	4.55766884531591e-06	1.23873202614379e-05	2	805.5463984
"BH-01868"	9	"SB"	"WRB"	-6.4963578	-0.784424524269938	0.00493797385620915	0.00695084967320262	3.6618954248366e-05	4.96986928104575e-06	1.03501307189543e-05	2	845.5081312
"BH-01868"	9	"SB"	"WRB"	-6.67927397142857	-0.966542191261198	0.00533764705882353	0.00624372549019608	4.41816993464052e-05	5.37006535947713e-06	1.16954901960784e-05	2	886.3238686
"BH-01868"	9	"SB"	"WRB"	-7.1268643	-1.37013279380538	0.00472143790849673	0.0062576688453159	4.39333333333333e-05	3.86150326797386e-06	1.69091503267974e-05	3	926.2855931
"BH-01868"	9	"SB"	"WRB"	-7.16012178571429	-1.39670546927137	0.00492477124183007	0.00596673202614379	5.43673202614379e-05	4.35496732026144e-06	1.7337908496732e-05	3	966.2473803
"BH-01868"	9	"SB"	"WRB"	-6.90514772857143	-1.16704580639475	0.00510128540305011	0.00604204793028322	5.2566448801743e-05	4.4445751633987e-06	1.73581699346405e-05	3	1007.063057
"BH-01868"	9	"SB"	"WRB"	-6.8164611	-1.0996728517055	0.00525461873638344	0.00644004357298475	2.86139433551199e-05	3.2726797385621e-06	1.13453594771242e-05	3	1047.024833
"BH-01868"	9	"SB"	"WRB"	-7.03540621428571	-1.31972144337584	0.00495006535947713	0.00647673202614379	4.11862745098038e-05	4.16189542483659e-06	9.57457516339868e-06	4	1087.840521
"BH-01868"	9	"SB"	"WRB"	-7.27790871428572	-1.61540237133342	0.00492736383442266	0.00676647058823529	6.20278867102397e-05	6.13124183006536e-06	2.01294117647059e-05	4	1127.28213
"BH-01868"	9	"SB"	"WRB"	-7.10884982857143	-1.45645678206542	0.00475300653594771	0.00630616557734205	5.72285403050109e-05	4.93453159041394e-06	2.15061002178649e-05	4	1167.243762
"BH-01868"	9	"SB"	"WRB"	-6.81507537142857	-1.17751286421514	0.00463261437908497	0.00629542483660131	4.35921568627451e-05	4.92267973856209e-06	1.14585620915033e-05	4	1208.059601
"BH-01868"	9	"SB"	"WRB"	-6.44370011428571	-0.853721585050178	0.00526113289760348	0.00590252723311547	3.72331154684096e-05	3.89357298474946e-06	6.33766884531591e-06	4	1248.021234
"BH-01868"	9	"SB"	"WRB"	-6.45201448571429	-0.865548064291321	0.0053844880174292	0.00589877995642702	4.96810457516339e-05	5.0593899782135e-06	1.03105010893246e-05	5	1287.982919
"BH-01868"	9	"SB"	"WRB"	-6.46864322857143	-0.904475904371141	0.00526928104575163	0.00600849673202614	5.41934640522877e-05	5.94535947712418e-06	1.73666666666667e-05	5	1328.798706
"BH-01868"	9	"SB"	"WRB"	-6.18179741428571	-0.657176555226145	0.00565666666666667	0.00558	4.02888888888889e-05	6.07185185185185e-06	1.28714814814815e-05	5	1368.760388
"BH-01868"	9	"SB"	"WRB"	-5.72450698571429	-0.15991827416207	0.00506174291938998	0.0053354248366013	4.00337690631808e-05	4.70625272331155e-06	7.88405228758172e-06	5	1409.576177
"BH-01868"	9	"SB"	"WRB"	-5.62612025714286	-0.133728152128063	0.00495006535947712	0.00552163398692811	3.85725490196079e-05	3.80941176470588e-06	6.12098039215688e-06	5	1449.537857
"BH-01868"	9	"SB"	"WRB"	-5.83397954285714	-0.416697683774234	0.00526488017429194	0.00502803921568628	2.90185185185185e-05	4.69028322440087e-06	2.39891285403051e-06	5	1489.49958
"BH-01868"	9	"SB"	"WRB"	-6.08063922857143	-0.703925330038776	0.00530779956427015	0.00513962962962963	3.18470588235294e-05	5.33928104575163e-06	6.83755555555555e-06	6	1530.315327
"BH-01868"	9	"SB"	"WRB"	-6.23306937142857	-0.908484531572433	0.00568078431372549	0.00554993464052287	4.12705882352941e-05	6.61771241830065e-06	7.0188888888889e-06	6	1570.277046
"BH-01868"	9	"SB"	"WRB"	-6.26216967142857	-0.914934851496399	0.00579474945533769	0.00569930283224401	4.52381263616558e-05	6.07257080610022e-06	6.6824183006536e-06	6	1611.092797
"BH-01868"	9	"SB"	"WRB"	-6.48942915714286	-1.18899456750678	0.00512559912854031	0.00555472766884532	4.39723311546841e-05	4.50912854030502e-06	5.37202614379086e-06	6	1651.054512
