"ID"	"capt"	"area"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"dist"	"d18O"
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00458333333333333	0.00634333333333333	4.76777777777778e-05	3.38222222222222e-05	2.45888888888889e-05	291.5	-6.6321592
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00449111111111111	0.00622222222222222	4.37222222222222e-05	3.27222222222222e-05	2.39333333333333e-05	297	-6.6321592
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00440555555555555	0.00614444444444444	4.14555555555556e-05	3.12111111111111e-05	2.29666666666667e-05	302.5	-6.6321592
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00438111111111111	0.00613	4.2e-05	2.98e-05	2.17888888888889e-05	308	-5.6815494
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00440777777777778	0.00615111111111111	4.22333333333333e-05	2.87888888888889e-05	2.02e-05	313.5	-5.6815494
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00454222222222222	0.00628666666666667	4.24333333333333e-05	2.82555555555556e-05	1.878e-05	319	-5.6815494
"BH-91068"	"Ziese"	"Freshwater"	0.00120333333333333	0.00697777777777778	8.56888888888889e-05	8.57444444444444e-06	6.23888888888889e-05	77	-9.5421892
"BH-91068"	"Ziese"	"Freshwater"	0.00123111111111111	0.00692888888888889	8.67555555555556e-05	8.62333333333333e-06	6.06444444444444e-05	82.5	-9.5421892
"BH-91068"	"Ziese"	"Freshwater"	0.00125333333333333	0.0069	8.79888888888889e-05	8.72222222222222e-06	5.88555555555555e-05	88	-9.5421892
"BH-91068"	"Ziese"	"Freshwater"	0.00127222222222222	0.00685222222222222	8.96666666666667e-05	8.96e-06	5.73555555555556e-05	93.5	-9.5421892
"BH-91068"	"Ziese"	"Freshwater"	0.00128888888888889	0.00680666666666667	9.35333333333333e-05	9.45777777777778e-06	5.63222222222222e-05	99	-9.5421892
"BH-91068"	"Ziese"	"Freshwater"	0.00130777777777778	0.00681	9.90333333333333e-05	1.00433333333333e-05	5.47888888888889e-05	104.5	-9.2026857
"BH-91068"	"Ziese"	"Freshwater"	0.00133444444444444	0.00687888888888889	0.000104788888888889	1.064e-05	5.34555555555555e-05	110	-9.2026857
"BH-91068"	"Ziese"	"Freshwater"	0.00135777777777778	0.00703333333333333	0.000110133333333333	1.09555555555556e-05	5.15222222222222e-05	115.5	-9.2026857
"BH-91068"	"Ziese"	"Freshwater"	0.00138111111111111	0.00719222222222222	0.000111511111111111	1.11022222222222e-05	4.84555555555556e-05	121	-9.2026857
"BH-91068"	"Ziese"	"Freshwater"	0.00140444444444444	0.00734222222222222	0.000110322222222222	1.10411111111111e-05	4.5e-05	126.5	-9.2026857
"BH-91068"	"Ziese"	"Freshwater"	0.00142333333333333	0.00744222222222222	0.000108088888888889	1.08755555555556e-05	4.13e-05	132	-9.2026857
"BH-91068"	"Ziese"	"Freshwater"	0.00144666666666667	0.00748333333333333	0.000105433333333333	1.05444444444444e-05	3.85111111111111e-05	137.5	-9.2026857
"BH-91068"	"Ziese"	"Freshwater"	0.00146666666666667	0.00745222222222222	0.000102411111111111	1.01755555555556e-05	3.60777777777778e-05	143	-8.9213828
"BH-91068"	"Ziese"	"Freshwater"	0.00149111111111111	0.00738555555555556	9.72111111111111e-05	9.64444444444444e-06	3.34e-05	148.5	-8.9213828
"BH-91068"	"Ziese"	"Freshwater"	0.00151111111111111	0.00727666666666667	9.15777777777778e-05	9.17333333333333e-06	3.13e-05	154	-8.9213828
"BH-91068"	"Ziese"	"Freshwater"	0.00153555555555556	0.00714888888888889	8.64777777777778e-05	8.87333333333333e-06	2.90666666666667e-05	159.5	-8.9213828
"BH-91068"	"Ziese"	"Freshwater"	0.00157777777777778	0.00704555555555555	8.12222222222222e-05	8.85111111111111e-06	2.72e-05	165	-8.9213828
"BH-91068"	"Ziese"	"Freshwater"	0.00161444444444444	0.00694888888888889	8.03111111111111e-05	8.87333333333333e-06	2.59222222222222e-05	170.5	-8.9213828
"BH-91068"	"Ziese"	"Freshwater"	0.00166111111111111	0.00689111111111111	8.23222222222222e-05	9.11e-06	2.53555555555556e-05	176	-9.0183838
